522-20-003-003-,"('L', 'P', 'S')","(512, 512, 214)","('0.29', '0.29', '1.25')"
522-20-016-016-,"('L', 'P', 'S')","(512, 512, 180)","('0.35', '0.35', '1.25')"
522-20-047-047-,"('L', 'P', 'S')","(512, 512, 181)","('0.30', '0.30', '1.25')"
522-20-090-090-,"('L', 'P', 'S')","(512, 512, 171)","('0.27', '0.27', '1.25')"
522-20-124-124-,"('L', 'P', 'S')","(512, 512, 190)","('0.31', '0.31', '1.25')"
522-20-240-240-,"('L', 'P', 'S')","(512, 512, 174)","('0.31', '0.31', '1.25')"
522-20-247-247-,"('L', 'P', 'S')","(512, 512, 228)","('0.31', '0.31', '1.25')"
522-20-295-295-,"('L', 'P', 'S')","(512, 512, 221)","('0.27', '0.27', '1.25')"
522-20-364-364-,"('L', 'P', 'S')","(512, 512, 149)","('0.27', '0.27', '1.25')"
522-20-453-453-,"('L', 'P', 'S')","(512, 512, 181)","('0.27', '0.27', '1.25')"
522-20-004-004,"('P', 'I', 'R')","(161, 338, 61)","('1.00', '1.00', '2.00')"
522-20-005-005,"('P', 'I', 'R')","(154, 295, 154)","('1.00', '1.00', '1.00')"
522-20-006-006,"('P', 'I', 'R')","(915, 1189, 121)","('1.00', '1.00', '3.00')"
522-20-007-007,"('P', 'I', 'R')","(250, 325, 38)","('1.00', '1.00', '3.00')"
522-20-008-008,"('P', 'I', 'R')","(269, 269, 73)","('1.00', '1.00', '2.00')"
522-20-009-009,"('P', 'I', 'R')","(459, 459, 66)","('1.00', '1.00', '2.00')"
522-20-014-014,"('P', 'I', 'R')","(186, 186, 40)","('1.00', '1.00', '2.00')"
522-20-015-015,"('P', 'I', 'R')","(291, 291, 58)","('1.00', '1.00', '2.00')"
522-20-031-031,"('P', 'I', 'R')","(216, 216, 74)","('1.00', '1.00', '2.00')"
522-20-033-033,"('P', 'I', 'R')","(275, 605, 81)","('1.00', '1.00', '2.00')"
522-20-034-034,"('P', 'I', 'R')","(231, 462, 97)","('1.00', '1.00', '3.00')"
522-20-036-036,"('P', 'I', 'R')","(234, 234, 88)","('1.00', '1.00', '2.00')"
522-20-043-043,"('P', 'I', 'R')","(407, 407, 75)","('1.00', '1.00', '2.00')"
522-20-046-046,"('P', 'I', 'R')","(198, 198, 50)","('1.00', '1.00', '2.00')"
522-20-048-048,"('P', 'I', 'R')","(175, 175, 57)","('1.00', '1.00', '2.00')"
522-20-051-051,"('L', 'P', 'S')","(392, 392, 453)","('1.00', '1.00', '1.00')"
522-20-056-056,"('P', 'I', 'R')","(183, 363, 115)","('1.00', '1.00', '2.00')"
522-20-060-060,"('P', 'I', 'R')","(204, 272, 62)","('1.00', '1.00', '2.00')"
522-20-061-061,"('P', 'I', 'R')","(492, 640, 110)","('1.00', '1.00', '3.00')"
522-20-063-063,"('L', 'A', 'S')","(177, 177, 300)","('1.00', '1.00', '1.00')"
522-20-064-064,"('P', 'I', 'R')","(512, 512, 38)","('0.96', '0.96', '2.00')"
522-20-065-065,"('P', 'I', 'R')","(196, 196, 80)","('1.00', '1.00', '2.00')"
522-20-068-068,"('P', 'I', 'R')","(445, 579, 132)","('1.00', '1.00', '3.00')"
522-20-072-072,"('L', 'A', 'S')","(162, 162, 253)","('1.00', '1.00', '1.00')"
522-20-074-074,"('L', 'A', 'S')","(512, 512, 688)","('0.98', '0.98', '1.00')"
522-20-075-075,"('L', 'A', 'S')","(381, 381, 252)","('1.00', '1.00', '1.00')"
522-20-076-076,"('P', 'I', 'R')","(256, 256, 71)","('1.00', '1.00', '2.00')"
522-20-082-082,"('L', 'A', 'S')","(444, 444, 709)","('1.00', '1.00', '1.00')"
522-20-088-088,"('L', 'A', 'S')","(250, 250, 372)","('1.00', '1.00', '1.00')"
522-20-091-091,"('L', 'A', 'S')","(365, 365, 619)","('1.00', '1.00', '1.00')"
522-20-096-096,"('L', 'A', 'S')","(369, 369, 669)","('1.00', '1.00', '1.00')"
522-20-097-097,"('L', 'A', 'S')","(382, 382, 541)","('1.00', '1.00', '1.00')"
522-20-100-100,"('L', 'A', 'S')","(512, 512, 315)","('0.98', '0.98', '1.00')"
